"employee_id","full_name","first_name","last_name","position_id","position_title","store_id","department_id","birth_date","hire_date","end_date","salary","supervisor_id","education_level","marital_status","gender"
1157,"Maryann Backlin","Maryann","Backlin",,,0,0,1946/8/15 00:00:00,,,NT$0.00,0,"Graduate Degree","S","M"
1158,"Kevin Sharp","Kevin","Sharp",,,0,0,1912/4/6 00:00:00,,,NT$0.00,0,"Graduate Degree","S","M"
1159,"Michael Torres","Michael","Torres",,,0,0,1951/9/27 00:00:00,,,NT$0.00,0,"High School Degree","M","F"
1160,"Marian Sall","Marian","Sall",,,0,0,1942/9/21 00:00:00,,,NT$0.00,0,"High School Degree","S","F"
1161,"Rose Scott","Rose","Scott",,,0,0,1963/3/26 00:00:00,,,NT$0.00,0,"Bachelors Degree","M","M"
1162,"Elmer Zablah","Elmer","Zablah",,,0,0,1935/8/14 00:00:00,,,NT$0.00,0,"High School Degree","S","M"
1163,"Rosalie Verity","Rosalie","Verity",,,0,0,1965/3/23 00:00:00,,,NT$0.00,0,"Graduate Degree","M","F"
1164,"Jim Pope","Jim","Pope",,,0,0,1954/6/8 00:00:00,,,NT$0.00,0,"Graduate Degree","S","F"
1165,"Barbara Harriman","Barbara","Harriman",,,0,0,1953/4/10 00:00:00,,,NT$0.00,0,"Partial College","S","M"
1166,"Florence Bowen","Florence","Bowen",,,0,0,1929/7/21 00:00:00,,,NT$0.00,0,"Partial College","S","M"
1167,"Calvin Pochert","Calvin","Pochert",,,0,0,1926/8/24 00:00:00,,,NT$0.00,0,"Bachelors Degree","S","M"
1168,"Cecil Stone","Cecil","Stone",,,0,0,1938/8/22 00:00:00,,,NT$0.00,0,"Partial College","M","F"
1169,"Raymond Lippman","Raymond","Lippman",,,0,0,1976/6/27 00:00:00,,,NT$0.00,0,"Partial College","M","M"
1170,"Brian Heiser","Brian","Heiser",,,0,0,1957/8/8 00:00:00,,,NT$0.00,0,"Graduate Degree","M","F"
1171,"Brad Craig","Brad","Craig",,,0,0,1926/9/28 00:00:00,,,NT$0.00,0,"Bachelors Degree","S","F"
1172,"Donny Castano","Donny","Castano",,,0,0,1938/12/17 00:00:00,,,NT$0.00,0,"Bachelors Degree","M","M"
1173,"Edgar Caudill","Edgar","Caudill",,,0,0,1948/11/20 00:00:00,,,NT$0.00,0,"Partial College","M","M"
1174,"Barbara Romero","Barbara","Romero",,,0,0,1946/4/9 00:00:00,,,NT$0.00,0,"Partial College","M","M"
1175,"Sarah Hicks","Sarah","Hicks",,,0,0,1959/8/11 00:00:00,,,NT$0.00,0,"High School Degree","M","F"
1176,"Robert Difatta","Robert","Difatta",,,0,0,1912/5/2 00:00:00,,,NT$0.00,0,"Partial High School","M","F"
1177,"Marilyn Schaidt","Marilyn","Schaidt",,,0,0,1966/7/4 00:00:00,,,NT$0.00,0,"Partial College","S","F"
1178,"Susan Brush","Susan","Brush",,,0,0,1951/11/3 00:00:00,,,NT$0.00,0,"Partial High School","S","M"
1179,"Michelle Cambra","Michelle","Cambra",,,0,0,1931/10/26 00:00:00,,,NT$0.00,0,"Partial College","S","F"
1180,"Doris Mills","Doris","Mills",,,0,0,1964/1/19 00:00:00,,,NT$0.00,0,"High School Degree","M","M"
1181,"Mai Reed","Mai","Reed",,,0,0,1921/5/21 00:00:00,,,NT$0.00,0,"Partial College","S","M"
1182,"Gail Rybolt","Gail","Rybolt",,,0,0,1941/8/14 00:00:00,,,NT$0.00,0,"Partial High School","S","M"
1183,"Carolyn Staton","Carolyn","Staton",,,0,0,1970/5/14 00:00:00,,,NT$0.00,0,"High School Degree","S","M"
1184,"Albert Van Antwerp","Albert","Van Antwerp",,,0,0,1945/2/9 00:00:00,,,NT$0.00,0,"Bachelors Degree","S","M"
1185,"Mimi Springer","Mimi","Springer",,,0,0,1944/7/11 00:00:00,,,NT$0.00,0,"Partial College","S","M"
1186,"Barbara Thorne","Barbara","Thorne",,,0,0,1969/8/27 00:00:00,,,NT$0.00,0,"High School Degree","S","F"
1187,"Susan Surniak","Susan","Surniak",,,0,0,1977/4/5 00:00:00,,,NT$0.00,0,"High School Degree","M","M"
1188,"Marilyn Short","Marilyn","Short",,,0,0,1951/2/19 00:00:00,,,NT$0.00,0,"Bachelors Degree","M","M"
1189,"Richard Swesey","Richard","Swesey",,,0,0,1923/10/19 00:00:00,,,NT$0.00,0,"High School Degree","M","M"
1190,"Carolyn Carlson","Carolyn","Carlson",,,0,0,1965/1/16 00:00:00,,,NT$0.00,0,"Graduate Degree","M","F"
1191,"Christy Margolis","Christy","Margolis",,,0,0,1956/7/23 00:00:00,,,NT$0.00,0,"Partial College","M","M"
1192,"Kelly Bowen","Kelly","Bowen",,,0,0,1941/12/11 00:00:00,,,NT$0.00,0,"Partial High School","M","M"
1193,"Esther Murphy","Esther","Murphy",,,0,0,1957/10/11 00:00:00,,,NT$0.00,0,"Partial High School","S","F"
1194,"Tiffany Miller","Tiffany","Miller",,,0,0,1934/11/5 00:00:00,,,NT$0.00,0,"Graduate Degree","S","F"
1195,"William Abravaya","William","Abravaya",,,0,0,1958/10/9 00:00:00,,,NT$0.00,0,"Partial High School","S","F"
1196,"Margaret Hazlip","Margaret","Hazlip",,,0,0,1953/8/26 00:00:00,,,NT$0.00,0,"High School Degree","M","M"
1197,"Linda Carter","Linda","Carter",,,0,0,1912/8/28 00:00:00,,,NT$0.00,0,"Partial High School","S","M"
1198,"Frank Slusher","Frank","Slusher",,,0,0,1964/8/18 00:00:00,,,NT$0.00,0,"Bachelors Degree","M","M"
1199,"Janelle Nzwonkwelle","Janelle","Nzwonkwelle",,,0,0,1967/4/27 00:00:00,,,NT$0.00,0,"Bachelors Degree","S","F"
1200,"Linda McCain","Linda","McCain",,,0,0,1974/8/19 00:00:00,,,NT$0.00,0,"Bachelors Degree","S","F"
1201,"Juanita Daly","Juanita","Daly",,,0,0,1935/10/18 00:00:00,,,NT$0.00,0,"High School Degree","M","M"
1202,"Nancy LaTulippe","Nancy","LaTulippe",,,0,0,1922/8/4 00:00:00,,,NT$0.00,0,"Partial High School","M","M"
1203,"Saje Lewis","Saje","Lewis",,,0,0,1924/8/25 00:00:00,,,NT$0.00,0,"Bachelors Degree","S","M"
1204,"Herbert Bomar","Herbert","Bomar",,,0,0,1930/3/8 00:00:00,,,NT$0.00,0,"Graduate Degree","M","F"
1205,"Darlene Renfro","Darlene","Renfro",,,0,0,1946/10/17 00:00:00,,,NT$0.00,0,"Partial College","M","F"
1206,"Maria Wheeler","Maria","Wheeler",,,0,0,1938/6/28 00:00:00,,,NT$0.00,0,"Graduate Degree","S","F"
1207,"Tony Irvin","Tony","Irvin",,,0,0,1957/7/8 00:00:00,,,NT$0.00,0,"Graduate Degree","S","M"
1208,"Stephen Green","Stephen","Green",,,0,0,1974/7/20 00:00:00,,,NT$0.00,0,"High School Degree","S","F"
1209,"Virginia Stanford","Virginia","Stanford",,,0,0,1963/5/2 00:00:00,,,NT$0.00,0,"Partial High School","S","M"
1210,"Michael Ritchie","Michael","Ritchie",,,0,0,1973/2/19 00:00:00,,,NT$0.00,0,"Bachelors Degree","S","M"
1211,"Hiram Moody","Hiram","Moody",,,0,0,1958/9/20 00:00:00,,,NT$0.00,0,"Bachelors Degree","M","M"
1212,"William Whatley","William","Whatley",,,0,0,1916/4/8 00:00:00,,,NT$0.00,0,"Graduate Degree","S","M"
1213,"Maria Schloss","Maria","Schloss",,,0,0,1919/3/18 00:00:00,,,NT$0.00,0,"Bachelors Degree","M","F"
1214,"Alice Hurt","Alice","Hurt",,,0,0,1933/10/5 00:00:00,,,NT$0.00,0,"High School Degree","M","M"
1215,"Harold Erickson","Harold","Erickson",,,0,0,1968/4/11 00:00:00,,,NT$0.00,0,"Graduate Degree","M","M"
1216,"Arthur Haas","Arthur","Haas",,,0,0,1936/4/1 00:00:00,,,NT$0.00,0,"Partial High School","M","M"
1217,"Manuel Haskin","Manuel","Haskin",,,0,0,1930/3/24 00:00:00,,,NT$0.00,0,"High School Degree","M","F"
1218,"Tamar Hubbard","Tamar","Hubbard",,,0,0,1961/11/19 00:00:00,,,NT$0.00,0,"Graduate Degree","M","M"
1219,"Eric Comden","Eric","Comden",,,0,0,1963/10/18 00:00:00,,,NT$0.00,0,"Partial High School","M","F"
1220,"Stephanie Dummy","Stephanie","Dummy",,,0,0,1943/5/10 00:00:00,,,NT$0.00,0,"High School Degree","S","F"
1221,"Py Bateman","Py","Bateman",,,0,0,1921/8/16 00:00:00,,,NT$0.00,0,"Graduate Degree","M","F"
1222,"Ruth Vigil","Ruth","Vigil",,,0,0,1957/4/8 00:00:00,,,NT$0.00,0,"Partial College","S","M"
1223,"Hector Clifford","Hector","Clifford",,,0,0,1954/6/20 00:00:00,,,NT$0.00,0,"Bachelors Degree","S","M"
1224,"Shirley Turner","Shirley","Turner",,,0,0,1933/3/3 00:00:00,,,NT$0.00,0,"Bachelors Degree","S","M"
1225,"Barbara Appel","Barbara","Appel",,,0,0,1954/8/8 00:00:00,,,NT$0.00,0,"High School Degree","S","F"
1226,"James Vance","James","Vance",,,0,0,1926/2/23 00:00:00,,,NT$0.00,0,"Bachelors Degree","M","F"
1227,"Michael Olbright","Michael","Olbright",,,0,0,1956/8/6 00:00:00,,,NT$0.00,0,"Partial College","S","M"
1228,"Tamara Dowd","Tamara","Dowd",,,0,0,1945/11/18 00:00:00,,,NT$0.00,0,"Partial College","M","M"
1229,"Garth Wagner","Garth","Wagner",,,0,0,1940/7/22 00:00:00,,,NT$0.00,0,"Graduate Degree","M","M"
1230,"Brian Merlo","Brian","Merlo",,,0,0,1928/2/18 00:00:00,,,NT$0.00,0,"Graduate Degree","M","F"
1231,"Tammy Kamp","Tammy","Kamp",,,0,0,1925/3/21 00:00:00,,,NT$0.00,0,"High School Degree","S","F"
1232,"Debra Hamrick","Debra","Hamrick",,,0,0,1925/11/8 00:00:00,,,NT$0.00,0,"Partial College","S","M"
1233,"Janet Bogosian","Janet","Bogosian",,,0,0,1963/9/12 00:00:00,,,NT$0.00,0,"High School Degree","S","M"
1234,"Linda Chavira","Linda","Chavira",,,0,0,1956/3/4 00:00:00,,,NT$0.00,0,"Bachelors Degree","M","F"
1235,"Martha Clark","Martha","Clark",,,0,0,1920/9/1 00:00:00,,,NT$0.00,0,"Graduate Degree","S","M"
1236,"Marceline Vialpando","Marceline","Vialpando",,,0,0,1972/11/20 00:00:00,,,NT$0.00,0,"Bachelors Degree","M","M"
1237,"Luis Clay","Luis","Clay",,,0,0,1912/11/23 00:00:00,,,NT$0.00,0,"Bachelors Degree","S","M"
1238,"Odin Stumpff","Odin","Stumpff",,,0,0,1910/3/12 00:00:00,,,NT$0.00,0,"Bachelors Degree","M","M"
1239,"Leeann Masser","Leeann","Masser",,,0,0,1923/8/14 00:00:00,,,NT$0.00,0,"Partial College","S","M"
1240,"Raymond Sparks","Raymond","Sparks",,,0,0,1946/5/5 00:00:00,,,NT$0.00,0,"High School Degree","M","F"
1241,"Charles Martinez","Charles","Martinez",,,0,0,1929/6/8 00:00:00,,,NT$0.00,0,"High School Degree","S","M"
1242,"Charles Williams","Charles","Williams",,,0,0,1961/5/11 00:00:00,,,NT$0.00,0,"Partial College","M","F"
1243,"Lea Nelson","Lea","Nelson",,,0,0,1953/7/18 00:00:00,,,NT$0.00,0,"Bachelors Degree","M","F"
1244,"Jorge Phillips","Jorge","Phillips",,,0,0,1974/6/27 00:00:00,,,NT$0.00,0,"Bachelors Degree","S","F"
1245,"Paul Perez","Paul","Perez",,,0,0,1931/10/2 00:00:00,,,NT$0.00,0,"Graduate Degree","M","F"
1246,"Beverly Verduzco","Beverly","Verduzco",,,0,0,1951/2/22 00:00:00,,,NT$0.00,0,"Bachelors Degree","M","F"
1247,"Mabel Oreskovich","Mabel","Oreskovich",,,0,0,1980/10/22 00:00:00,,,NT$0.00,0,"Graduate Degree","M","F"
1248,"Richard Dean","Richard","Dean",,,0,0,1955/7/18 00:00:00,,,NT$0.00,0,"High School Degree","M","F"
1249,"Kristy Seward","Kristy","Seward",,,0,0,1920/12/22 00:00:00,,,NT$0.00,0,"Partial High School","S","F"
1250,"Joseph Schofield","Joseph","Schofield",,,0,0,1946/2/11 00:00:00,,,NT$0.00,0,"High School Degree","M","M"
1251,"Jill Shopneck","Jill","Shopneck",,,0,0,1953/8/17 00:00:00,,,NT$0.00,0,"High School Degree","M","M"
1252,"Janice Nelson","Janice","Nelson",,,0,0,1927/7/3 00:00:00,,,NT$0.00,0,"Partial College","M","M"
1253,"George Trujillo","George","Trujillo",,,0,0,1912/6/14 00:00:00,,,NT$0.00,0,"Partial College","M","M"
1254,"Angela Hutchinson","Angela","Hutchinson",,,0,0,1942/6/27 00:00:00,,,NT$0.00,0,"Partial High School","M","F"
1255,"Angela Jiminez","Angela","Jiminez",,,0,0,1969/10/13 00:00:00,,,NT$0.00,0,"Partial College","M","M"
1256,"Janice Weakley","Janice","Weakley",,,0,0,1953/3/1 00:00:00,,,NT$0.00,0,"High School Degree","M","M"
1257,"Barbara Haste","Barbara","Haste",,,0,0,1911/4/12 00:00:00,,,NT$0.00,0,"Graduate Degree","M","M"
1258,"Mary Lee","Mary","Lee",,,0,0,1946/2/22 00:00:00,,,NT$0.00,0,"Partial High School","S","F"
1259,"Zelma Pereira","Zelma","Pereira",,,0,0,1970/1/26 00:00:00,,,NT$0.00,0,"High School Degree","S","F"
1260,"Suzanne Rowland","Suzanne","Rowland",,,0,0,1966/11/16 00:00:00,,,NT$0.00,0,"Partial College","S","F"
1261,"Carlos Lopez","Carlos","Lopez",,,0,0,1966/3/26 00:00:00,,,NT$0.00,0,"Bachelors Degree","M","F"
1262,"Eduardo Munoz","Eduardo","Munoz",,,0,0,1952/4/13 00:00:00,,,NT$0.00,0,"High School Degree","S","M"
1263,"Rick Carpenter","Rick","Carpenter",,,0,0,1943/9/11 00:00:00,,,NT$0.00,0,"Graduate Degree","M","F"
1264,"Diane Kuhl","Diane","Kuhl",,,0,0,1950/2/3 00:00:00,,,NT$0.00,0,"High School Degree","M","M"
1265,"Terri Campbell","Terri","Campbell",,,0,0,1911/4/2 00:00:00,,,NT$0.00,0,"Bachelors Degree","S","F"
1266,"Mouloud Pancoast","Mouloud","Pancoast",,,0,0,1911/5/26 00:00:00,,,NT$0.00,0,"Partial College","S","F"
1267,"Joan Johnson","Joan","Johnson",,,0,0,1951/7/2 00:00:00,,,NT$0.00,0,"Partial High School","M","F"
